"Service in the UK is OK. But roaming abroad is a nightmare. Bought a data upgrade plan for use while travelling in the US but never worked once while I was there. Followed all the instructions for setting up your phone properly, including going through all the id mobile help forums and adjusting esoteric settings. But other users report exactly same problem with roaming outside the EU. Will be going back to a big provider at end of contract.",1
My number didn't seem to transfer over properly even though I used the switching service. The new number was displayed when I sent text messages instead of my old one. I didn't get missed call notification when people tried to ring me. I had problems for the first month which hopefully have  now been sorted out. It would have been really good to have been able to take my phone to someone to help me instead of things been done online.,1
The billing is not easy to understand My plan is supposedly £8 month but typically higher as I do use add ins but they are not explained,1
"What I like: buying from ID was easy and effortless, good communication too. Everything looks good, but! Probably it's the Three network, but rather often I have no internet access even when the phone shows 4G and 3 bars out of 4. It just doesn't work... Annoying, far worse than EE what I had before.",1
"The operator, while polite and friendly my issue was not resolved to my satisfaction. My subsequent billing was not very well explained and promises made by the sales team were not kept.",1
"The monthly contract fee is decent, unfortunately the internet connection/coverage is very poor. With the previous provider I had 5G very often, but here I haven't encountered it yet.",1
"Generally Ok but they will change your monthly costs in the middle of your contract.. what seemed like a good offer initially is merely Okay.What goods a contract if they can just change it at will?Everyone's living costs have increased, how about I renegotiate with you a little less? Is that fair too?Additionally they will continue to charge you full price for your handset even after it's paid off (24months)",1
I'm generally happy with ID service but there is one annoying issue which is very frustriting. Basically being recently in Central London and Manchester my mobile internet just did not work at all despite having full 5G signal recepton. I am guessing this is because of the fact my ID sim's bandwidth is reduced to near zero in very congested areas. I want to highlight this is purely network issue as my wife and daughter (also on ID network) experience was exactly the same. This is an area you need to improve big time.,1
Very poor internet. Although you get 5G sign on the phone but internet speed is rubbish on so many areas in London,1
"ID as a company I have nothing but praise for, cheap, great app, great online backup.I've been with them for years.Sadly though it's the now pretty appalling ""3"" network they run their services on. And it is so awful now I've had to leave ID.I live in a decent sized town and there's is now zero signal pretty much everywhere within it, and I can't get any signal in my house at all. It's got slowly worse and worse over the last couple of years. Yet despite repeated complaints, ID can't seem to get 3 to do anything, and 3 dont even bother respond when approached directly.So it's a thumbs up to ID, but do check 3's dubious network before you commit!",1
"Sometimes,signal is suddenly out of order, even the phone call, and it happened so many times. I have to restart again and wait for few minutes.",1
"I disliked the fact that iD list 50 countries that are covered in their roaming packages, only to find out after getting on board, that Italy is not one of the countries covered…… Potentially, I will now have to pay more on top of my monthly tariff ! Also, I notice that there appears to be no facility to add funds to use premium numbers, like “61054” which is a Greatest Hits Radio Premium SMS number. Any chance either of the above will change soon ?",1
Great service in terms of delivery. Good app and prompt delivery of new handset plus returns envelope for old handset. Unfortunately I’m still yet to receive the payment for my old handset. 2 emails but no reply!,1
Price of plans are very good however signal coverage lacks in a lot of areas especially for data even checking the coverage before ordering,1
"Never got 5g connectivity in the same device which I was using, while I was with three UK. Even 4g speed is not that great. Thinking of changing ID soon. Even in central London internet speed is too slow, than think outside London area. Also no call centre where you can get any help, everything online or a chat bot. Using ID SIM from last 45 days and not so impressed.",1
Very hard to get a costumer addvicer at them end of my contract I will change to a different net work,1
"Generally happy with the cost and reliability while I am out and about, but unfortunately I am unable to get a signal while I am at home. I did check before switching to you to ensure I should be able to get a signal at home but there is clearly a problem. My post code is HR9 5UF",1
I am unable to access my accout updates on my phone,1
